comedian,tags,text
Adam Ferrara,,"You were an altar boy, right? No wonder you're so angry. Show me on Kiefer Sutherland where the priest touched you."
Adam Ferrara,"religion,holidays","My favourite Catholic holiday is Easter. For those of you that don't know, Easter is the day we celebrate Jesus rising from the grave and coming back to Earth as a rabbit that hides coloured eggs."
Adam Ferrara,,"I sincerely want to meet the girl that was meant for me, but I want to sleep with the girls that weren't."
Adam Ferrara,,"Being in a relationship is like being in A.A. My friends ask me, ""How's it going with that girl?"" ""One day at a time, man."""
Adam Ferrara,rain,"If she gets a hot flash and walks into a cold room, she can make it rain."
Adam Ferrara,change,"The human body is in constant change the minute we're born. It's in a constant state of decay. We're all like Ford Escorts, just falling apart."
Adam Ferrara,,"I love that magazine, man - Victoria's Secret - and it comes, like, every three hours."
Adam Ferrara,,"I don't think it's fair - you get married, you give your wife a wedding ring. I think you should give her a mood ring. Oh, it may sound crass, but just check the color when you come home. ""Hi honey. Infernal red? Oh boy, I ain't getting laid, and I gotta cut the lawn, I know it."""
Adam Ferrara,,I think human arrogance will be the demise of civilization.
Adam Ferrara,,"What if God's a woman? Not only am I going to hell, I'll never know why!"
Adam Ferrara,girlfriends,The biggest thing in my life right now is my girlfriend. I love this girl. I know I love her because she told me.
Adam Ferrara,"differences,devil","There were many reasons we broke up. There was a religious difference: I'm a Catholic, and she's the devil."
Adam Ferrara,women,"I don't think I'll ever meet the perfect woman. I might have to get me one of them mail order women. You can do that: you send away to the Philippines, and they send you a wife. The only thing is, once you're on their mailing list, they keep sending you a relative a month whether you want it or not."
Adam Ferrara,,"Whenever she uses the phrase ""I was thinking...,"" that means I either have to move, paint or buy something."
Adam Ferrara,"girlfriends,love,sex,emotions","I love my girlfriend, don't get me wrong. I truly love this woman, but I have the ability to have sex without any emotional involvement. It's a gift."
Adam Ferrara,parents,"We're all products of our parents: all your mother's traits are in the egg and all your father's traits are in the sperm. And if I know my parents, that sperm and egg had a fight."
Adam Ferrara,soul,"As soon as you lay down, that's when the most bizarre things start coming out of her mouth. ""Goodnight, baby."" ""Do you think we were together in a past life?"" ""Yeah, and I died of sleep deprivation. Go to bed."" ""Don't you feel like we're soul..."""
Adam Ferrara,,"You gotta fight. You gotta get out the negative energy. Don't let it build up. You end up screaming at each other over something totally stupid, like, ""Well, why'd you put this spoon in this drawer then?"" Just to piss you off, that's why! I got spoons hidden all over this house! Keep it up, and your napkin rings are gonna start disappearing."
Adam Ferrara,,"If you look at a group of people that had faith, it's got to be the Jews. They followed Moses through the desert for 40 years with no map. There had to be one guy in the back, like, ""I don't think he knows where he's going."""
Adam Ferrara,questions,I love to believe that there's one god but there's many different religions so there's just the question of which long distance company you pick.
Adam Ferrara,,"One day in the shower, you figure it out. It's a special day in a man's life. I was like, ""Oh, I found me a hobby."""
Adam Ferrara,,"I talk a lot about women in my act, 'cause let's face it - if I was hungry, I would talk about food."
Adam Ferrara,girlfriends,My girlfriend wants to get married. I tell you - I hope she meets somebody nice.
Adam Ferrara,religion,"I am a Catholic. Basically, the Catholic religion is ""If it feels good - stop."""
Adam Ferrara,sex,"My father tried to give me the sex talk once, and he chickened out. He walked into my room and went, ""Adam - uh, don't kiss guys."""
Adam Ferrara,parents,"The only marriage I've observed for any length of time is my parents - 35 years. I asked my pop, I go, ""Pop, 35 years - what do you hope for?"" He's like, ""I hope you die first."""
Adam Ferrara,,"I know she's just trying to make things nice, so I do my part. Now, when I get up to use the bathroom in the middle of the night, I turn on the light. I used to just go by sonar: just keep peeing 'til you hear water."
Adam Ferrara,"friends,importance,sex",Sex is important to guys. We need stories to tell our friends.
Adam Ferrara,,"My fondest childhood memory is I made out with my babysitter, Cathy. She stops in the middle of everything: ""We have to stop this. I feel like such a whore."" ""Why? I'm not paying you - my parents are! Come here!"""
Adam Ferrara,"animals,dating","I look to nature because I think the animals are smarter than we are. Animals mate; humans date. There's no dating in the animal kingdom. No dinner, no movie - just a quick sniff, ""Alright, let's go."""
Adam Ferrara,hollywood,The girls are beautiful in Hollywood - and enough silicon to caulk a sink.
Adam Ferrara,"men,women",That's the perfect microcosm for men and women: it takes a million sperm to find one egg 'cause they're all males and not one of them is gonna pull over and ask directions.
Adam Sandler,,"Comedy, such a lovely lady, she'll pick you up, you your feeling blue."
Adam Sandler,,Now that's what I call high quality H2O.
Adam Sandler,,"I think the reason I don't read is because, when I'm reading, I feel like I'm missing out on something else. You know, What are my friends doing? Where's my girlfriend?"
Adam Sandler,,"They should name a gender after you. Looking at you doesn't do it, staring is the only way that makes sense. And trying not to blink so you don't miss anything. And all of that and you're you."
Adam Sandler,,"I'm 31 now. I think I'm beginning to understand what life is, what romance is, and what a relationship means."
Adam Sandler,,"I'm not looking to get away from anything. I like what I've done. I like what I get to do and I enjoy working with my friends. I loved those movies, but this is incredible."
Adam Sandler,,"I don't laugh at me. I used to. I used to get the giggles when I'd see myself. But now, I see myself onscreen, and I sure don't laugh."
Adam Sandler,,I can’t run a company… I can’t even run my own life!
Adam Sandler,,My comedy is different every time I do it. I don't know what the hell I'm doing.
Adam Sandler,,"I never had a speech from my father ""this is what you must do or shouldn't do"" but I just learned to be led by example. My father wasn't perfect."
Adam Sandler,,"It definitely has learning a lesson about the way you're living your life. I wouldn't compare our movie to that, but it has a structure where it's about a man who doesn't appreciate all that he has and finds out at the end that life has been great and he has to enjoy that."
Adam Sandler,,"So let me do the dishes in our kitchen sink, put you to bed when you've had too much to drink."
Adam Sandler,,"I sing seriously to my mom on the phone. To put her to sleep, I have to sing ""Maria"" from West Side Story. When I hear her snoring, I hang up."
Adam Sandler,,"Mama says that, alligators are onry cause they got all them teeth, but no toothbrush..."
Adam Sandler,,I don't think about that. I wasn't a kid growing up saying one day I'll get an Oscar and make a speech. That wasn't on my mind. So what I do is the best work I can do.
Adam Sandler,,"I guess in my house when I was growing up, I was comfortable trying to be funny. And my dad, of course, it bugged him sometimes. He was trying to rest, and I was constantly trying to say something stupid to get a reaction. But I like doing these movies. You can do it in front of the camera and then it's over. I don't have to worry about being in front of too many people."
Adam Sandler,"stuff,celebrities",I don't like being out in public too much. I don't like going to bars. I don't like doing celebrity stuff.
Adam Sandler,,Sorry I’m not better looking.
Adam Sandler,,"If I saw myself dressed like that, I'd have to kick my own ass."
Adam Sandler,,Its too damn hot for a penguin to be just walkin’ around here.
Adam Sandler,,Its too hot for a penguin out here come here mister penguin.
Adam Sandler,,Chemistry can be a good and bad thing. Chemistry is good when you make love with it. Chemistry is bad when you make crack with it.
Adam Sandler,golf,Golf requires goofy pants and a fat ass.
Adam Sandler,"girlfriends,acceptance","Doing Saturday Night Live definitely affects my relationship with my girlfriend and with my family, because you feel so much pressure to do well that night. But I think everyone's grown to accept that and so they give me my space at the show."
Adam Sandler,,"Feels good to try, but playing a father, I'm getting a little older. I see now that I'm taking it more serious and I do want that lifestyle."
Adam Sandler,,I do love the films I've done in the past. I work hard in my movies and my friends work hard and we're trying to make people laugh and I'm very proud of that.
Adam Sandler,,I shouldn't be near Vegas and have money in my pocket.
Adam Sandler,,Most of the stuff I do on the show comes out of me just trying to make my friends laugh.
Adam Sandler,comedians,"I still like doing stand-up now, but it's not the same. It used to be that I was out there with five other comedians. Now I usually just do it alone."
Adam Sandler,care,"My movies just kind of sneak up on you. I don't have to worry too much about what everybody is going to say. Anyway, I really don't pay attention to what the world says about my movies. I just care about what my buddies think."
Adam Sandler,sisters,I do want children. I study dads more. I watch what they go through. I admire my father more than I ever did and my brother and my sister.
Adam Sandler,,"He has a 5 year plan... What is it, don't die?"
Adam Sandler,jail,"I don't want want to go to jail, I'm fragile."
Adam Sandler,florida,"I bought my parents some stuff. That feels kind of good to be able to do that. I got them a place in Florida. I think I'm allowed to say that - I hope my dad doesn't get mad at me. But I don't spend money on myself. I don't like myself enough yet. But the people I love, I like spending the cash on them."
Adam Sandler,"driving,ice cream","I'd like to have a kid, and I'd like to be driving around. I know a kid is going to be a big part of my life. I can trust my kid. I know my kid would be in the backseat of my car, and when I say ""You wanna get some ice-cream?"" he's going to be happy. My brother has kids. I see that trick work, the ice cream trick."
Adam Sandler,hollywood,"You know, when you don't go on TV and talk about how many women you sleep with, some people in Hollywood, that are supposedly ""in the know"", start whispering that you're gay. If I were gay, I wouldn't be ashamed to admit it, but I'm not."
Adam Sandler,hockey,"I’ve got a hockey record, I took off my skate and tried to stab a guy, I’m the only person who ever tried that."
Adam Sandler,,Stop looking at me swan.
Adam Sandler,,"Well, we're living in a material world, and I'm a material girl... or boy."
Adam Sandler,,Well I have a microphone and you don't so you will listen to every damn word I have to say!
Adam Sandler,,Sir one more comment like that and I will strangle you with my microphone wire!
Adam Sandler,,Having a kid is great... as long as his eyes are closed and he's not moving or talking.
Adam Sandler,happiness,"Mama says that, happiness is from magic rays of sunshine that come down when you're feeling blue..."
Adam Sandler,audience,I still get very scared when I step in front of a live audience.
Adam Sandler,sisters,"I sang a song at my sister's wedding. My mother forced me into that, too. But that one felt all right."
Adam Sandler,,I don't know who I touch and who I don't. I work hard trying to make people laugh. I try to do the kind of stuff that made me laugh growing up. I don't have any secrets. I don't know the reasons I've been so well received.
Adam Sandler,ice cream,Wasted is when you have a hankering for ice cream.
Adam Sandler,challenges,"Never seen my friends do more push-ups, trying to challenge Cruises' manhood. It was like, ""I can be strong, too!"""
Adam Sandler,,Now let's cut the stupid cake because I know the fat guy's gonna have a heart attack if we don't eat again soon. And while we do that here's a little mood music for you.
Adam Sandler,hollywood,"It's just weird that out of nowhere God said, ""May the three best-looking guys in Hollywood have babies - Tom Cruise, Brad Pitt and me"". It was bizarre that God said, ""I want to make the planet more beautiful"", and I got the call."
Adam Sandler,,"I noticed you all were French, opposite of bonjour to you."
Adam Sandler,importance,"The problem with me, as far as getting married and having a family, is that my comedy is so important to me. So I don't know if I'll ever be as good a dad as my dad."
Adam Sandler,,This character feels so much like my brother. He has two children. He has a wife. He works with me. He chooses to stay in New Hampshire because he wants his kids to grow up in the school they started with. He doesn't want them to lose friends. He is his family's hero.
Adam Sandler,,"To be honest with you, when I got into this I never thought about reviews. I never thought about what people would say about me. I was just a young guy who was excited to become a comedian and an actor and I just wanted to get to do what I got to do."
Adam Sandler,,"We just bought this house. It's too big. It's like 400,000 square feet, or something. We got an indoor lake and ski slope in the house! It's just too big."
Adam Sandler,,"When I got into this, I never thought about reviews. I never thought about what people would say about me, I was just a young guy who was excited to become a comedian and an actor, and I just wanted to get to do what I got to do."
Adam Sandler,comedians,"When I was younger and did a stand-up gig, it would take me two weeks to recover. Sometimes I'd get so panicked that I would stutter."
Adam Sandler,,"I mean, I look at my dad. He was twenty when he started having a family, and he was always the coolest dad. He did everything for his kids, and he never made us feel like he was pressured. I know that it must be a great feeling to be a guy like that."
Adam Sandler,,"I drew the duck blue because I've never seen a blue duck before and, to be honest with you I wanted to see a blue duck."
Adam Sandler,,"When I'm up there, and I know the show's coming to a close, in my head I'm saying to myself, Oh man, you gotta get off and be a normal person again. That's what I don't like so much."
Adam Sandler,friends,"My buddies, we've always just tried to make each other laugh. I mean, just like all friends hanging out - that's the goal."
Adam Sandler,dating,"First I asked her what time it is, right? Tomorrow I get to ask her the date, the day after that she's all over me. That's how it works, you play it slow."
Adam Sandler,,It's hard to soar with the eagles when you're surrounded by turkeys.
Adam Sandler,,I'm filthy rich! It's good to be Adam Sandler!
Adam Sandler,,And she showed me her boobies and I like them too!
Adam Sandler,,"I'm pretty hot, right? Very hot, if I may say so myself. Don't you feel the sex I'm radiating?"
Adam Sandler,,I'm not even worried about them getting sick of the characters. I want to make sure stuff is still funny to me.
Adam Sandler,love,"Some of us will never ever find true love. Take, for instance me. And I'm pretty sure that guy right there. And that lady with the sideburns. And basically everybody at table nine."
Adam Sandler,wife,Kid is healthy! Wife is healthy!
Adam Sandler,,He was great enough to be loose and funny about it.
Adam Sandler,,"That was so much easier, I should just get it in one every time."
Al Madrigal,wife,"If my wife has too much to drink at a party, starts yapping a little too much, I don't have to say anything... three little leg squeezes, she knows that means 'Put a sock in it, drunkie, time for you to wrap it up.' Somebody didn't have dinner like I suggested, now you're spouting off at the mouth divulging all the family secrets. You need to pipe down or we've got to fucking leave."
Al Madrigal,,"I'm half-Mexican - get used to it 'cause in about five to 10 years, you're all gonna be related to one. Whether you like it or not, no matter how much you prepared your family, you're gonna show up at Thanksgiving one of these years, you're gonna walk in and say, 'Hey! What's happening? Since when did we start serving flan?' Well, what's happening is that somebody's boning a Latino."
Al Madrigal,weed,"Don't bring your sand toys to the park. That's another bad move. Because I go to the park, and I'm on the Vicodin and a little weed too - let's face it - and I go in there, and my wife's like, 'Bring the sand toys! Bring the sand toys!' And I know what happens every single time: I become sand toy repo man from the eight little kids that run off in nine different directions with my sand toys."
Al Madrigal,beat,"That's what a pinata inspires. It's like, 'Hey kids, let's get your favorite cartoon character and let's lynch his ass. And then we're gonna all take turns beating the crap out of it until its guts come out. We can all scramble for its sugary entrails. Who's with me?!'"
Al Madrigal,,"I like bourbon, any other detail beyond that is going to make me seem like a drunk."
Al Madrigal,,"So I go back, reluctantly, down a murky hallway to what looks like a Dollar Store dressing room, and I open up the dirty curtain. There's a velvet Elvis on the wall with the eyes cut out - some weird sort of quality assurance program they're running in there. They got a dirty recliner they pulled off the street with duct tape on it - God knows what else. They got a bloody pipe on the floor. It's like a third world game of Clue."
Al Madrigal,mexicans,"What's happening is there's a warm front of Mexicans that are humping their way north to the point where you'll be up in Canada one of these years, walking around, you'll be like: 'Hey look, Eskimos! They came down.' Those aren't Eskimos - they're Meximos: Mexicans in parkas, trying to have sex with Canadian women."
Al Madrigal,,"I got distracted by one of the hippie moms who was breastfeeding a kid that was way too old to be breastfeeding. You ever seen that before? It's disgusting. A child should not be old enough to comment on the quality. Like, 'Do you go to Cheesecake Factory, because this is delicious. It's like dulce de leche meets Riesling coming out of this thing, and I've got to say thank you.'"
Al Madrigal,mexicans,"Then I get there and I swear - it's San Jose, CA - there's 2,000 Mexicans. And you know you're half-Mexican when you walk in and you're like, 'Damn. This is a lot of Mexicans. Only half of me is the only white guy here.'"
Al Madrigal,,I'm always alone. Sad face emoticon.
Al Madrigal,,"Well, once I fried tofu and put Sriracha on it. After that I was so depressed I swore off preparing food for myself altogether."
Al Madrigal,business,"You grow up real quick, a half-Mexican in a sailor's suit, because I'd be riding the streetcar to school everyday - minding my own business, humming out a 'Frere Jacques' - and I realized that in any other town, this might be considered cute. But you know what it is in San Francisco? Sexy."
Al Madrigal,,"I bullshit on the phone all day with a variety of people discussing various projects, and occasionally write jokes."
Al Madrigal,neighborhood,"Near my house in Los Angeles is a waterfall. I love to take the wife and kids, but it's also near a sketchy neighborhood. So there's a lot of gang members that hang out at the waterfall. It's like somebody took an Ansel Adams photo and then put a Cypress Hill video inside it."
Al Madrigal,"mexicans,business","We're down in Mexico. It's for a bachelor party, so we go into a Mexican strip club... I go back with this woman down a murky hallway, and then without missing a beat - these ladies are all business - she goes, 'Go ahead, take out your dong.' 'I'm not taking out my dong. And by the way, who uses the word ""dong""? If you want to be hip to the lingo, they're not using the word ""dong"" up in the States.'"
Al Madrigal,embarrassment,"My son comes out of his room wearing these flood pants with holes in both knees. I have no idea where he found these pants. And I go, 'Dude, you gotta change your pants. You can't wear those pants.' He goes, 'I like these pants, these are my favorite pants, I'm gonna wear them.' I didn't know what to say, I'm a young dad, so I go, 'You're gonna be embarrassed.' He looks at me, steps to me a little bit, and goes, 'I'm not gonna be embarrassed. They're your friends. You're gonna be embarrassed.' I was like, 'Son of a bitch.'"
Alan King,,"However, even under the best of circumstances, four-year graduation rates for the next few years will be substantially lower than those in the three provinces."
Alan King,honesty,"The best definition of an honest politician is one who… when he is bought, stays bought."
Alan King,love,"If you want to read about love and marriage, you've got to buy two separate books."
Alan King,,Modesty is not one of my virtues.
Alan King,decisions,"Once they make their commitment, they have to stay with that commitment, ... They have to live with that decision."
Alan King,,A river in Cleveland caught fire… what did they put it out with?
Alan King,,Why spoil a good meal with a big tip?
Alan King,,"If the banks are so friendly, how come they chain down the pens?"
Alan King,,It was nice to see Chocolate outriding the Flat jockey.
Alan King,rain,I think he has a hell of a chance on rain softened ground and he probably represents our best chance for a Festival victory.
Alan King,,"I was worried about the ground, and while I thought it was quicker than ideal, there was no jar."
Alan King,,"Jesus saves, Moses invests."
Alan King,food,"As life's pleasures go, food is second only to sex. Except for salami and eggs. Now that's better than sex, but only if the salami is thickly sliced."
Alan King,,Marriage is nature's way of keeping us from fighting with strangers.
Alan King,,"You do live longer with bran, but you spend the last fifteen years on the toilet."
Alan King,,"Banks have a new image. Now you have a friend, your friendly banker. If the banks are so friendly, how come they chain down the pens?"
Alan King,business,I don't think it's any secret. We can't continue to do business as we're currently doing it.
Alan King,society,"Comedy is a reflection. We create nothing. We set no styles, no standards. We're reflections. It'a a distorted mirror in the fun house. We watch society. As society behaves, then we have the ability to make fun of it."
Alan King,holidays,"A short summary of every Jewish holiday: ""They tried to kill us; we won; let’s eat!"""
Albert Brooks,art,Art and resistance are great together. That's what art's made for. Look at Vincent van Gogh: He didn't cut off his ear because he was selling well.
Albert Brooks,divorce,I'm not a person who I ever thought would do well with divorce. Not that it can't happen. I just didn't want that. So I waited a long time to meet the right person. Then I finally met someone that I was willing to be divorced from.
Albert Brooks,hollywood,"Being a screenwriter in Hollywood is like being a eunuch at an orgy. Worse, actually, at least the eunuch is allowed to watch."
Albert Brooks,,"My mother was supportive without knowing it. Deep down she wanted all the right things, she just didn't see the world like I did, and she's not supposed to."
Albert Brooks,christmas,Starting to drink now in preparation for New Years. No more last minute stuff like Christmas.
Albert Brooks,brain,"So I think if you're happy with your brain, you're powerful."
Albert Brooks,tennis,"You can equate acting to a tennis game: When you're playing one of the best, you get better."
Albert Brooks,"acceptance,restaurants","Acceptance is going to a restaurant where the salad's not great, but the steak is fine."
Albert Brooks,,"I've never been disappointed, because I've never given somebody I liked that much power."
Albert Brooks,business,"I'd still like to see ""Survivor"" minus the planned show-biz parts. That would be the purest form of show business - I want to see someone so hungry that they eat somebody else's foot."
Albert Brooks,,"When I die, if the word ""thong"" appears in the first or second sentence of my obituary, I've screwed up."
Albert Brooks,"9/11,change","When we spoke, he told me, 'The Newsweek thing has changed the world.' And I said, 'Wasn't it 9/11 that changed the world?' But Michael said he just didn't want to take a chance."
Albert Brooks,"future,new york",I've seen the future! It's a bald-headed man from New York!
Albert Brooks,"rain,brain","I got so good at writing to a budget, my brain was restricting myself. I'd write, ""It's a stormy night."" Then I'd cross out stormy. I'd write: ""It's a calm night."" Then I'd cross out night. It's noon. Because you know how much night costs. You know how much rain costs. Nothing comes free in movies."
Albert Brooks,,I don't know that I can define fear. But one of the sources of fear is holding up some sort of model life that doesn't exist and feeling like you're far away from it.
Albert Brooks,change,The biggest waste of brainpower is to want to change something that's not changeable.
Albert Brooks,,In line for Black Friday 2012. Gonna get some killer deals.
Albert Brooks,,"If we had 3 million exhibitionists and only one voyeur, nobody could make any money."
Albert Brooks,,I was in Kashmir last weekend. Went to visit one of my sweaters.
Albert Brooks,,"In the beginning of any career, in every job, people are always forcing you to the middle."
Albert Brooks,,If anything happens to me tell every woman I've ever gone out with I was talking about her at the end. That way they'll have to reevaluate me.
Albert Brooks,happiness,Had an unexplained burst of happiness today. Doctor said not to worry it will go away.
Albert Brooks,,The whole world is tense. Everybody gets the international news. There's been no American comedy at all that even remotely addresses the subject in any way. My goal isn't to solve the world's problems. My character wasn't even able to do his assignment. But the premise of wanting to find out about somebody - other than the stuff that the CIA will tell you - there's no hope unless we do that.
Albert Brooks,,Excited about Black Friday. Also excited about Jew Tuesday.
Albert Brooks,television,"I have children. I have a family to support. But I really could live in a one-room apartment, as long as the television worked. I never needed anything. Just a comfortable chair and I'm fine."
Albert Brooks,,I feel so badly about what they do to turkeys. That's why this year my family and I are eating a live bird.
Albert Brooks,"9/11,change","The world really changed after 9/11, not just in the tragic way, but in every way. So it took me a couple of years to even understand how my art form I could process any of this. When the world changed, eliciting laughter with subjects that were funny to me before 9/11 just didn't seem good enough."
Albert Brooks,,"There are a couple of images I really love in this movie. One is crossing into Pakistan illegally to see a group of guys who ordinarily you'd think would want to kill you, but they want to be stand-up comedians."
Albert Brooks,,"But I thought, what could I do in a teeny way - and believe me, it's a teeny way - to defuse this? There had to be some way to separate the 1.5 billion people who don't want to kill us from the 100,000 or so who do. I thought if I could get five Muslims and six Hindus and maybe 3 Jews to laugh for 90 minutes, then I've accomplished something."
Albert Brooks,,"This was enormously challenging, because it involved filling 120 blank pages with an actual story and words people say."
Albert Brooks,,"We export films that are full of sleazy jokes and toilet humor - that`s why we've earned the affectionate nickname of the Great Satan. What's seemingly benign, by our standards, is doing more damage to us around the world than anything I could ever do."
Albert Brooks,,It's better to be known by six people for something you're proud of than by 60 million for something you're not.
Albert Brooks,,I'm not interesting enough on my own that you'd want to see a film about me.
Albert Brooks,,"I come from the place where I am thinking ""I have put my blood on the pages."""
Albert Brooks,,Relaxation is the absence of worry.
Albert Brooks,,There's nothing funny about flying to Houston.
Albert Brooks,language,"Even if you didn't see the movie, you'd see two words you'd never seen put together before - comedy and Muslim. Comedy is friendly - it's the least offensive word in our language."
Albert Brooks,,"Bullfights are hugely popular because you can sit comfortably with a hot dog and possibly watch a man die. It won't be me, but I can sit comfortably and watch it."
Albert Brooks,,I don't want to get close to people who have secrets that I don't know about.
Albert Brooks,society,I've always felt like I work in a small little area that doesn't represent anything like the rest of society.
Albert Brooks,,"When they made 90210, there were people outside of Beverly Hills who went, Oooooh! But you don't go Oooooh! when you're in there. You're worried about passing the Spanish test."
Alonzo Bodden,,"I don't like conservatives. They always talk about the ""good old days"". I'm black, we have no ""good old days""."
Alonzo Bodden,,There are three goals for any comedian: to make a living as a comedian; I've been fortunate to do that. To make a name for yourself and to be famous would be great - because it would give me that freedom.
Alonzo Bodden,,"I was teaching airplane mechanics when I realized it was more fun to make them laugh. I was laid off one more time and I never looked back, although it was nice to have a steady paycheck and benefits."
Alonzo Bodden,,Every day theres something new. Something's going to destroy us all. Then it disappears.
Alonzo Bodden,,"Black people don't hijack planes, alright? Now I'll be the first to admit, we steal a lot of stuff, but we do not hijack planes. In fact, in the history of aviation, a black person has never even attempted to hijack a plane. Do you want to know why? Because you can't sell an airplane."
