comedian,full_name,country,bio,birth_year
Andy Kindler,Andy Kindler,USA,"Andy Kindler is an American stand-up comedian from New York City who resides in Los Angeles. His material often covers the comedy industry itself, criticizing other comedians for being too predictable. At his annual state of the industry address at Montreal's ""Just For Laughs"" festival, he criticized Dane Cook, Louis CK, Chelsea Handler and Jay Leno. Kindler has a standup DVD entitled I Wish I was Bitter. He played the character ""Andy"" a fellow sportswriter and friend of sportswriter ""Ray Barone"" (Ray Romano) on the TV show Everybody Loves Raymond, is a regular guest on Late Show with David Letterman, contributor to The Daily Show and has performed on HBO. He is also known for his annual ""State of the Industry"" address at the Just for Laughs comedy festival in Montreal. In 2010, Kindler was a judge on the stand-up reality show Last Comic Standing. In 2010 he appeared on several episodes of Wizards of Waverly Place as Chancellor Tootietootie. As a voice actor, Kindler has made numerous appearances on Dr. Katz and Home Movies from producer Loren Bouchard. He regularly voices the character of Mort, a mortician and the Belchers' neighbor, on Bouchard's show Bob's Burgers. Kindler is often thought to have portrayed the character of ""Jamison"" in the World Wrestling Federation, but the character was portrayed by a different actor by the name of John DiGiacomo. He plays a fictionalized version of himself in the IFC series ""Maron"".",2010
Ant,Anthony Steven Kalloniatis,USA,"Ant (born Anthony Steven Kalloniatis; August 23, 1967) is an American stand-up comedian and actor. Ant performed at comedy clubs across the USA beginning in 1991. In 1995, he was a semi regular cast member on the WB series Unhappily Ever After, spending 4 seasons on the sitcom. With the end of that show and looking for ways to supplement his income, Ant recruited several men to become internet models. His involvement in the voyeur cam business is documented in the 2001 film WebCam Boys, which he also co-produced and premiered at the Toronto International Film Festival. Ant appeared as a contestant on Last Comic Standing, and has appeared in six of that show's seven seasons (season 1, 2 and 3 contestant, 4 guest and 5 a talent judge). That same year, he released a comedy album on Comedy Central Records, Follow My Ass. In 2005, he released the comedy DVD, Ant: America's Ready worldwide. He was the host of VH1 reality series Celebrity Fit Club and was a regular judge of talent on Steve Harvey's Big Time. His television series, U.S. of Ant, premiered on MTV Network's gay-targeted Logo cable channel in the summer of 2006. Ant also frequently appears as a commentator on such shows as VH1's Best Week Ever and CNBC's Dennis Miller, and is a regular guest on The Tyra Banks Show, The Tonight Show with Jay Leno as well as The Howard Stern Show. In 2007, he appeared along with Snoop Dogg as a guest star on MTV's sketch comedy show Short Circuitz. Ant also appeared as a regular celebrity guest on the game show, To Tell The Truth, alongside Jackée Harry, Meshach Taylor and John O'Hurley. In 2008, he was a contestant on VH1's reality competition Celebracadabra, where celebrities trained with established magicians, and competed in an elimination-format contest. Ant has a fear of clowns (more commonly known as Coulrophobia). This was revealed in the second episode while looking for a costume. Ant was eliminated in episode 2 and brought back in episode 4, but did not go on to win. Ant is ""pro-the-death penalty"" which he mentioned on his show, U.S. of Ant episode 3, North Carolina. He was a talent judge in NBC's 5th season of Last Comic Standing, along with Kathleen Madigan and Alonzo Bodden. On September 30, 2008, it was reported that Ant is suing British presenters Ant & Dec for using his name in the United States. The suit, among other things, alleges trademark infringement and fraud. The case is still pending in the District Court of Boston. On November 18, 2008, Ant's longtime friend and off- and on-again partner, Richard P. Scofield, died in his arms. Ant held an online memorial service for Scofield and people who knew him from his online life.",1967
Anthony Jeselnik,Anthony Jeselnik,USA,"Anthony Jeselnik (born December 22, 1978) is an American standup comedian, television host, writer, producer, and actor. Jeselnik is known for his dark comedy style, which emphasizes misdirection and sociopathic non-sequiturs. For his standup performance, Jeselnik adopts an arrogant, villainous persona. Jeselnik was a writer for Late Night with Jimmy Fallon in its first season and hosted a Comedy Central Presents in 2009. After releasing his critically acclaimed debut album, Shakespeare, in 2010, he began writing for the Comedy Central Roasts and moved up to performer in the 2011 roast of Donald Trump. He continued to perform on the roasts of Charlie Sheen and Roseanne Barr in 2012. In 2013, Jeselnik began hosting his own television series, The Jeselnik Offensive, and released his second album, Caligula, which doubles as an hourlong standup special.",1978
Aries Spears,Aries Spears,USA,"Aries Spears (born April 3, 1975) is an American stand-up comedian, actor, voice artist, and comedian. Spears was a regular on Fox's sketch comedy series MADtv, appearing in 198 episodes, making him the second longest-serving original cast member on the show falling only behind Debra Wilson. He recently released a new special called Aries Spears: Hollywood, Look I'm Smiling. Spears was born in Chicago, Illinois. His mother Doris Spears is a jazz singer. Spears moved to New Jersey at age 11 and attended Arthur M. Judd Elementary School. He became a comedian at 14, performing stand-up comedy in various comedy clubs in New York City. He was expelled for fighting during his sophomore year in North Brunswick Township High School in North Brunswick Township, at age 17. Spears started doing his own comedy routine around his hometown.",1975
Arj Barker,Arjan Singh,USA,"Arjan Singh (born August 12, 1974), known by the stage name Arj Barker, is an American stand-up comedian and actor from San Anselmo, California. He has toured in the United States, Australia, New Zealand, and Europe. He was born to an engineer father and artist mother, and is half-Indian, half-European. His father is of Sikh heritage. Arj Barker appeared on Premium Blend in 1997, followed by appearances on the shows Late Night with Conan O'Brien and The Glass House. He twice hosted Comedy Central Presents, first on 20 September 2000 and 31 March 2006. Arj was featured in Comedy Central's animated series Shorties Watchin' Shorties. He appeared on the Australian show Thank God You're Here on 18 October 2006, 19 September 2007 and 17 June 2009. Barker co-wrote and performed in The Marijuana-Logues, an Off-Broadway show in New York, with Doug Benson and Tony Camin. The title of the show was a parody of The Vagina Monologues. NBC gave Barker the lead role for sitcom Nearly Nirvana, originally scheduled for 2004. However, Barker was replaced in the lead role by the show's creator, Ajay Sahgal, and the show never aired. Arj Barker appeared in the HBO sitcom Flight of the Conchords, playing Bret and Jemaine's indifferent friend Dave. Arj has enjoyed success in Australia for a number of years since first appearing at the Melbourne International Comedy Festival in 2000, and presently resides there. Arj was featured as a contestant on the first episode of the fifth season of Last Comic Standing, where he advanced to the Los Angeles semi-final round. He then failed to progress to the final 10 in the semi-final round.",1974
Artie Lange,"Arthur Steven Lange, Jr.",USA,"Arthur Steven ""Artie"" Lange, Jr. (born October 11, 1967) is an American actor, comedian and radio personality best known for his tenures with the The Howard Stern Show and the comedy sketch series MADtv. Lange performed his first stand-up comedy routine at 19 years of age. He took up work as a longshoreman to help support his family following the death of his quadriplegic father. In 1995, Lange starred in the first season of MADtv before leaving halfway through the second due to cocaine abuse and his subsequent arrest. After a period of rehabilitation, Lange featured in Dirty Work with Norm Macdonald, who brought Lange into the second season of his sitcom, The Norm Show. In 2001, Lange replaced Jackie Martling on The Howard Stern Show and stayed until late 2009, before a suicide attempt in early 2010 that led to an eight-month stay in a psychiatric ward. Lange has released recordings of comedy performances – It's the Whiskey Talkin' (2004) and Jack and Coke (2009). He co-wrote, produced and starred in his film Artie Lange's Beer League in 2006, and co-wrote, with Anthony Bozza, the book Too Fat to Fish in 2008, which entered The New York Times Best Seller list at number one. In 2011, Lange returned to radio with Nick DiPaolo to co-host The Nick & Artie Show. On January 14, 2013, the show was quietly renamed ""The Artie Lange Show"" when it went back on air after the holiday break, making no mention in the press or the official website regarding the departure of Nick DiPaolo.",1967
Aziz Ansari,Aziz Ansari,USA,"Aziz Ansari (born February 23, 1983) is an American actor and comedian. He stars as Tom Haverford on the NBC show Parks and Recreation. Ansari began his career performing standup comedy in New York City during the summer of 2000 while attending New York University. In 2007, he created and starred in the critically acclaimed MTV sketch comedy show Human Giant, which ran for two seasons. This led to acting roles in feature films, including Funny People, I Love You, Man, Observe and Report, and 30 Minutes or Less. In addition to his acting work, Ansari has continued to work as a standup comedian. He released his debut CD/DVD, entitled Intimate Moments for a Sensual Evening, in January 2010 on Comedy Central Records, and still tours nationally between acting commitments. In 2010 and 2011, he performed his Dangerously Delicious tour. This tour was self-released for download on his website in March 2012 and debuted on Comedy Central in May 2012. He is currently performing his third major tour of new material titled, Buried Alive.",1983
Bernie Mac,Bernard Jeffrey McCullough,USA,"Bernard Jeffrey ""Bernie"" McCullough (October 5, 1957 – August 9, 2008), better known by his stage name Bernie Mac, was an American stand-up comedian, actor, voice artist, and comedian. Born and raised on the South Side of Chicago, Mac gained popularity as a stand-up comedian. He joined comedians Steve Harvey, Cedric the Entertainer, and D. L. Hughley as The Original Kings of Comedy. After briefly hosting the HBO show Midnight Mac, Mac appeared in several films in smaller roles. His most noted film role was as Frank Catton in the remake Ocean's Eleven and the titular character of Mr. 3000. He was the star of The Bernie Mac Show, which ran from 2001 through 2006, earning him two Emmy Award nominations for Outstanding Lead Actor in a Comedy Series. His other films included starring roles in Booty Call, Friday, The Players Club, Head of State, Charlie's Angels: Full Throttle, Bad Santa, Guess Who, Pride, Soul Men, Transformers and Madagascar: Escape 2 Africa. Mac suffered from sarcoidosis, a disease in which abnormal collections of chronic inflammatory cells (granulomas) form as nodules in multiple organs, particularly the lungs and lymph nodes. Lung scarring or infection may lead to respiratory failure and death. Mac had said the condition was in remission in 2005. His death on August 9, 2008 was caused by complications from pneumonia.",1957
Bill Bellamy,William Bellamy,USA,"William ""Bill"" Bellamy (born April 7, 1965) is an American actor and stand-up comedian. Bellamy first gained national notoriety on HBO's Russell Simmons' Def Comedy Jam, where he is credited for creating or uttering before a televised audience, the phrase ""booty call"", described as a late night call to a potential paramour with the intention of meeting strictly for sex. Bellamy is African-American. He attended Seton Hall Preparatory School in West Orange, New Jersey before moving on to major in economics at Rutgers University. For many years, Bellamy was a staple on MTV, a VJ and the host of several MTV programs including MTV Jamz and MTV Beach House. He went on to star in a number of movies, including Fled, Love Jones, The Brothers, How to Be a Player, Getting Played and Any Given Sunday. He also appeared on two episodes of the TV show Kenan and Kel. Additionally, he played Skeeter on the Nickelodeon television show Cousin Skeeter. In 2002, Bill Bellamy was given a co-starring role in the Fox Network television show Fastlane alongside Peter Facinelli and Tiffani Thiessen. Bellamy is the current host and executive producer of Bill Bellamy's Who's Got Jokes? on TV One. The show is in its fourth season. He also appears frequently as a ""roundtable"" guest on the late night E! talk show Chelsea Lately. Bellamy is also the cousin of basketball player Shaquille O'Neal. Bellamy has also provided voice acting to Marcus Hill, a playable character in the 2005 updated version of the NARC video game.",1965
Bill Burr,William Burr,USA,"William ""Bill"" Burr (born June 10, 1968) is an American stand-up comedian, actor, and podcast host. Burr began stand-up at age 23. In 1995, he moved to New York City and lived there for eight months. Burr then moved to Los Angeles, where he worked on a number of film and television projects. He returned to New York in 1999 and moved back to Los Angeles in 2008. He performs over 150 shows annually, had two movies released in 2006, and has performed on the Late Show with David Letterman, Late Night with Conan O'Brien, and The Tonight Show with Conan O'Brien. He appeared in five episodes of Chappelle's Show in early 2004, and his HBO One Night Stand special aired in September 2005. Burr has appeared on the Bob and Tom Show, as well as on the Opie and Anthony Show on XM Satellite Radio, sometimes sitting in when third member Jim Norton is away. On December 16, 2006, Burr hosted a three-hour radio show on Opie and Anthony's XM radio channel program The Virus, titled Uninformed with Bill Burr & Joe DeRosa from 9pm to 12am. The second Uninformed show aired on February 10, 2007, from 9pm to 12am, and the show has continued to run on an irregular schedule about once a month. Since Burr's move to Los Angeles, it has primarily been a pre-taped show, rather than live. In September 2007, Burr signed with Colorado independent label What Are Records?. An expanded version of his 2003 debut album Emotionally Unavailable was released on October 16, 2007. Emotionally Unavailable carries content previously available only in Burr’s stand-up shows. It features a completely unedited set with Burr covering topics from rednecks to inadvertent racism to relationship books to crazy people on the subway. The Expanded Edition augments that album with previously unreleased highlights from a different tour: the Houston stop of the I'm Rich Biatch Tour, which Bill co-headlined with Chappelle's Show cast mates Charlie Murphy and Donnell Rawlings. Much of the material from this tour later turned up on his HBO stand-up special. As with other comics associated with The Opie & Anthony Show, in 2008, Burr's voice was featured in the game Grand Theft Auto IV. In the game, Bill plays Jason Michaels of the biker gang The Lost MC in the mission ""No Love Lost"". In 2009, he reprised his role in the game's expansion pack The Lost and Damned. Burr's special Let it Go premiered on Comedy Central on September 18, 2010, and was recorded at The Fillmore West in San Francisco. Burr's special, You People Are All The Same, premiered in 2012 as a Netflix exclusive. Bill Burr has been referred to as a ""comedian's comedian"" by observers of the US stand-up comedy circuit, meaning a comedian whose work is followed and appreciated by fellow professional comedians. Burr appeared in the movie Date Night as Detective Walsh. He has also appeared in the fourth and fifth seasons of AMC's Breaking Bad as Kuby. Since May 2007, Bill Burr has recorded a weekly one-hour podcast, in which he speaks without reservation and off the cuff about his past and recent experiences, going on tour, and sports. It is called Bill Burr's Monday Morning Podcast. He was the first person to ever host a podcast on his birthday in 2013. Occasionally, he is joined by his girlfriend Nia Hill, depending on whether she is present in their house or not. Burr also appears as a guest on other comedians' podcasts, such as The Adam Carolla Show The Joe Rogan Experience, WTF with Marc Maron, Chris Hardwick's Nerdist podcast, and Nobody Likes Onions. Burr was also the very first guest on Tom Green's podcast. On April 18, 2011, he guest hosted the Hollywood Babble-On podcast alongside Ralph Garman.",1968
Bill Cosby,"William Henry Cosby, Jr.",USA,"William Henry ""Bill"" Cosby, Jr. (born July 12, 1937) is an American comedian, actor, author, television producer, educator, musician and activist. A veteran stand-up performer, he got his start at various clubs, then landed a starring role in the 1960s action show, I Spy. He later starred in his own sitcom, The Bill Cosby Show. He was one of the major characters on the children's television series The Electric Company for its first two seasons, and created the educational cartoon comedy series Fat Albert and the Cosby Kids, about a group of young friends growing up in the city. Cosby has also acted in a number of films. During the 1980s, Cosby produced and starred in what is considered to be one of the decade's defining sitcoms, The Cosby Show, which aired eight seasons from 1984 to 1992. The sitcom highlighted the experiences and growth of an affluent African-American family. He also produced the spin-off sitcom A Different World, which became second to The Cosby Show in ratings. He starred in the sitcom Cosby from 1996 to 2000 and hosted Kids Say the Darndest Things for two seasons. He has been a sought-after spokesman, and has endorsed a number of products, including Jell-O, Kodak film, Ford, Texas Instruments, and Coca-Cola, including New Coke. In 2002, scholar Molefi Kete Asante included him in his book, the 100 Greatest African Americans. In 1976, Cosby earned a Doctor of Education degree from the University of Massachusetts Amherst. For his doctoral research, he wrote a dissertation entitled, ""An Integration of the Visual Media Via 'Fat Albert And The Cosby Kids' Into the Elementary School Curriculum as a Teaching Aid and Vehicle to Achieve Increased Learning"".",1937
